trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-43.66294256459524,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",30,0,-24.669825798836197,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",35,0,45.227099671798854,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,9,14.800205693470776,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-10.427456102687438,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.97}",35,7,24.677929521958696,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.965}",30,8,39.47212567919153,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.96}",25,0,31.825907405731876,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,8,30.935761775492075,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.95}",20,0,27.506138079425067,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.945}",35,13,39.87781143641546,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.94}",25,3,-10.664694855556638,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",30,0,45.53214005355354,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,1,-37.50890979772003,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",30,0,38.51050675209905,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,27.1272282276585,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,40.29947028167133,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,13,21.105831452747072,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,5,24.502680317279935,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,7,21.958941444180674,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,0,40.90649434220746,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,12,13.955809500941891,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,0,25.27143955577926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,12,14.981842847754749,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",30,16,26.702205714374326,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,20,7.41655737858508,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,19,8.689655600716716,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,37.31233653223887,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,8,20.57863047535662,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,31.979067839162532,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,34.175021047984934,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,2,28.109902802838768,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,21.483495304664498,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,7,26.631995017918385,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",30,8,38.21231322041038,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",30,11,34.96194871093131,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,13,11.621008483132199,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,31.463610872356274,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",30,15,27.655372980875626,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,6,26.343361016566735,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",25,4,36.37393706708185,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,12,25.343719278012806,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,3,38.99559733150768,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,14,12.532618697973081,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,17,11.41844841734975,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,31.033377135237828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,35.643773724685516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,29.12433632092042,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,8,28.533742581099773,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,13,10.107241326372222,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",30,0,42.77360897618051,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,25.377916666694457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",30,23,13.386631459397325,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,3,22.104161934065136,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,9,14.674381601174796,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,16,8.034459217434474,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,8,21.58549702761461,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,7,33.72825122142201,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,32.11047452488887,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,6,16.24415003292529,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,15,11.670542538656118,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,15,21.552971708433134,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,10,16.290592091501676,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,14,7.188916229080704,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,8,23.5393525947164,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,12,16.88880544932251,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,15,10.995409118041962,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,9,21.648497407158935,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",25,11,25.86017496910254,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,6,20.48675388928773,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",30,13,26.851268016440926,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",30,18,20.282438795192835,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,8,26.194147156866972,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,11,22.138713227022997,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",30,15,22.150898328841972,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,3,30.700924194431384,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",20,14,11.516326681784262,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,17,12.53719940945114,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,2,28.757928614867108,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,14,12.468055150561115,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,15,16.405972331000818,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,18,11.447271114368474,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,18,15.965709683429214,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,13,24.6057447283536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",35,18,28.789631173357435,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,5,24.57962994575613,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,9,28.393040954354525,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,12,31.376357936358666,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,12,15.308369074751182,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,7,24.863669786334004,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",25,20,7.899602114656778,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,9,17.26227640199022,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,13,13.303091234610147,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,8,25.79878077369619,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",25,8,30.638422652037026,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,15,21.232037319576218,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",25,8,28.82413652325952,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,13,14.082304349388718,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,8,23.960993353028172,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,6,21.940000234362017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",35,12,42.333988690323096,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,8,23.802861539341713,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,14,14.488296331071325,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,15,6.712714096965685,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,6,24.568252498305245,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,11,25.76850464161074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,13,10.617868332715464,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,13,20.571218800151282,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,8,31.671709334234478,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,8,19.1314427333975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",25,0,36.59244044968332,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,20,8.948930502200747,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,8,18.316041427185688,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,13,27.46707197670799,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",30,15,28.04061020966349,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,14,17.57505965566657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,12,24.231785232156273,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
